Player,Date,Opponent,Event,Result,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC
AJCunningham,"Apr 13, 2019",Kevin Henry,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Aug 18, 2018",Jesse Hancock,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Aug 5, 2022",Shea Conley,LFA 138,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Dec 5, 2020",Charles Bridges,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Dec 9, 2023",Justice Lamparez,RDC 9,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Jun 20, 2020",Aaron Ulroan,MMAX FC 8,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Jun 22, 2019",Johnnie Roades,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Mar 15, 2025",SuYoung You,UFC Fight Night,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AJCunningham,"Mar 19, 2021",Javier Garcia,LFA 102,L,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Mar 2, 2024",Ludovit Klein,UFC Fight Night,L,1,1,1,2,0,0,0,0.000,0,0,0,0%
AJCunningham,"May 7, 2023",Jason Mullen,Fury Fighting Championship 79,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Nov 16, 2019",Chris Hatley Jr.,PF,L,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Nov 17, 2018",Jose Herrera,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Sep 12, 2023",Steven Nguyen,Dana White's Contender Series,L,0,2,1,3,0,0,0,0.000,0,3,0,0%
AJCunningham,"Sep 24, 2020",Jewel Scott,iFF 1,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Sep 25, 2021",Jonathan Jackson,Attitude MMA Fights 22,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Apr 1, 2017",Seth Bass,DCS 33,D,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Apr 15, 2017",Willie Whitehead,KOTC,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Aug 12, 2023",Tafon Nchukwi,UFC Fight Night,W,0,0,2,5,0,0,0,0.000,2,3,0,67%
AJDobson,"Aug 18, 2018",Wesley Golden,Honor FC 6,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Dec 9, 2017",Montrell James,Alpha One Sports,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Feb 12, 2022",Jacob Malkoun,UFC 271,L,3,3,2,6,0,0,0,0.000,0,0,0,0%
AJDobson,"Jun 25, 2016",Jarrel Miller,RFO 19,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Mar 23, 2024",Edmen Shahbazyan,UFC Fight Night,L,1,1,2,2,0,0,1,0.000,0,0,0,0%
AJDobson,"Nov 7, 2020",Kailan Hill,SHP 57,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Oct 22, 2022",Armen Petrosyan,UFC 280,L,2,2,5,9,1,1,0,0.000,3,3,0,100%
AJDobson,"Sep 21, 2021",Hashem Arkhagha,Dana White's Contender Series,W,1,1,8,12,0,0,0,0.000,1,2,0,50%
AJFletcher,"Apr 23, 2021",Ariel Juarez,AKA,W,-,-,-,-,-,-,-,-,-,-,-,-
AJFletcher,"Aug 20, 2022",Ange Loosa,UFC 278,L,0,0,6,9,0,0,0,0.000,0,4,0,0%
AJFletcher,"Aug 22, 2020",Christopher Anthony,AF 55,W,-,-,-,-,-,-,-,-,-,-,-,-
AJFletcher,"Aug 24, 2019",Tyler Smith,Bayou FC 40,W,-,-,-,-,-,-,-,-,-,-,-,-
AJFletcher,"Aug 3, 2019",David Armas,Fury FC 34,W,-,-,-,-,-,-,-,-,-,-,-,-
AJFletcher,"Aug 31, 2021",Leonardo Damiani,Dana White's Contender Series,W,0,1,0,0,0,0,0,0.000,1,2,0,50%
AJFletcher,"Feb 18, 2023",Themba Gorimbo,UFC Fight Night,W,0,0,1,1,0,0,1,0.000,0,0,0,0%
AJFletcher,"Mar 12, 2022",Matthew Semelsberger,UFC Fight Night,L,0,0,0,1,0,0,2,0.000,4,6,0,67%
AJFletcher,"Mar 5, 2021",Wesley Golden,iFF 5,W,-,-,-,-,-,-,-,-,-,-,-,-
AJFletcher,"May 11, 2019",Dan Street,FFC 4,W,-,-,-,-,-,-,-,-,-,-,-,-
AJFletcher,"Nov 7, 2020",James Freeman,AF 57,W,-,-,-,-,-,-,-,-,-,-,-,-
AJFletcher,"Oct 19, 2019",Dahlen Wilson,AF 38,W,-,-,-,-,-,-,-,-,-,-,-,-
AJFletcher,"Sep 23, 2023",Bryan Battle,UFC Fight Night,L,3,5,2,4,0,0,0,0.000,0,2,0,0%
AaronBrink,"Aug 11, 2001",Bozigit Ataev,Rings,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronBrink,"Aug 31, 2002",Jeremy Horn,WEC 4,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronBrink,"Feb 21, 2010",Travis Browne,GC,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronBrink,"Jan 13, 2001",Rich Franklin,IFC - Warriors Challenge 11,D,-,-,-,-,-,-,-,-,-,-,-,-
AaronBrink,"Jul 5, 2002",Valentijn Overeem,WFA 2,W,-,-,-,-,-,-,-,-,-,-,-,-
AaronBrink,"Jun 14, 2014",Ashley Gooch,DFD,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronBrink,"Mar 16, 2003",Alistair Overeem,2H2H 6,L,-,-,-,-,-,-,-,-,-,-,-,-
AaronBrink,"May 11, 2012",Joe Riggs,RITC,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronBrink,"Nov 17, 2000",Andrei Arlovski,UFC 28,L,0,0,0,2,0,0,0,0.000,0,1,0,0%
AaronRiley,"Apr 21, 2001",Earl Thompson,UFCF,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Apr 26, 2008",Thiago Meller,UWC 3,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Apr 30, 1999",James Julian,SFC,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Aug 14, 1998",Brian Boclair,HOOKnSHOOT,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Aug 19, 2000",Steve Berger,HOOKnSHOOT,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Aug 22, 2006",Darrell Smith,Bodog Fight,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Aug 28, 2004",Maicon Alarcao,AFC,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Aug 30, 2003",Cedric Marks,CE,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Aug 7, 1999",CJ Fernandes,SFC,D,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Aug 8, 2009",Shane Nelson,UFC 101,W,12,13,8,18,4,4,0,0.000,2,5,0,40%
AaronRiley,"Dec 13, 2002",Alexandre Barros,HOOKnSHOOT,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Dec 2, 2006",Eddie Alvarez,Bodog Fight,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Jan 15, 2000",Colin O'Rourke,WEF 8,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Jan 16, 2006",Spencer Fisher,UFC Fight Night 3,L,4,5,0,1,3,3,0,0.000,2,4,0,50%
AaronRiley,"Jul 11, 1999",Rob Tallack,Kakidamisi 1,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Jul 14, 2000",Aaron Stregles,TC 2,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Jul 14, 2001",Yves Edwards,HOOKnSHOOT,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AaronRiley,"Jul 18, 1997",Chris Malgieri,HOOKnSHOOT,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
