Player,Date,Opponent,Event,Result,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC
CallanPotter,"Feb 22, 2020",Song Kenan,UFC Fight Night,L,1,1,1,2,0,0,0,0.000,1,1,0,100%
CallanPotter,"Oct 5, 2019",Maki Pitolo,UFC 243,W,1,1,3,3,0,0,1,0.000,3,4,0,75%
CallanPotter,"Feb 9, 2019",Jalin Turner,UFC 234,L,0,0,0,0,0,0,0,0.000,0,1,0,0%
CallanPotter,"Dec 8, 2018",B.J. Bland,EMMA,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Jun 16, 2018",Marcin Held,ACB 88,L,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Nov 24, 2017",Jack Becker,HFS,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Oct 21, 2017",Brentin Mumford,EMMA,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Mar 31, 2017",Abel Brites,HFS,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Oct 15, 2016",Isaac Tisdell,EMMA,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Jun 24, 2016",Matiu Thoms,HFS 6,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Feb 20, 2016",Sam Hayward,HFS,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Nov 27, 2015",Steven Maxwell,Minotaur 2,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Oct 31, 2015",Kahn Sandy,HFS,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Sep 27, 2015",David Vergers,K-Oz Entertainment,L,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Mar 14, 2015",Steve Kennedy,HFS,L,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Nov 22, 2014",Stuart Dare,Valor Fight 9,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"May 17, 2014",Corey Nelson,AFC 9 - Australian Fighting Championship 9,L,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Feb 15, 2014",David Butt,Valor Fight 7,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Dec 14, 2013",Troy Resic,AFC 7,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Sep 21, 2013",David Deconte,MMADU,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Jun 15, 2013",Nick Denholm,Valor Fight 5,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Jun 15, 2013",Damon Upton-Greer,Valor Fight 5,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Mar 16, 2013",Jake Matthews,Shamrock Events,L,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Dec 8, 2012",Alex Oliver,Valor Fight 3,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Aug 31, 2012",Richard Walsh,Gladiators Cage Fighting,L,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"Jun 23, 2012",Domenic Chiavone,Shamrock Events,W,-,-,-,-,-,-,-,-,-,-,-,-
CallanPotter,"May 20, 2011",Nick Patterson,Brute Force 15,L,-,-,-,-,-,-,-,-,-,-,-,-
MichelBatista,"Nov 30, 2018",Maurice Greene,The Ultimate Fighter 28 Finale,L,0,0,0,0,0,0,0,0.500,1,2,1,50%
MichelBatista,"Dec 15, 2017",Edson Lopes,Titan FC 47,W,-,-,-,-,-,-,-,-,-,-,-,-
MichelBatista,"Feb 17, 2017",Drew Allen Stewart,Fight Time Promotions,W,-,-,-,-,-,-,-,-,-,-,-,-
MichelBatista,"Dec 16, 2016",Oscar Delgado,Fight Time Promotions,D,-,-,-,-,-,-,-,-,-,-,-,-
MichelBatista,"Apr 22, 2016",Andreas Danapas,Fight Time Promotions,W,-,-,-,-,-,-,-,-,-,-,-,-
MichelBatista,"Jan 9, 2016",Russell Johnson,WFC,W,-,-,-,-,-,-,-,-,-,-,-,-
AlexMorono,"Jun 1, 2024",Niko Price,UFC 302,L,0,0,2,3,0,0,0,0.000,1,1,0,100%
AlexMorono,"Apr 6, 2024",Court McGee,UFC Fight Night,W,0,0,0,2,0,0,0,0.000,0,0,0,0%
AlexMorono,"Oct 7, 2023",Joaquin Buckley,UFC Fight Night,L,1,2,2,6,0,0,0,0.000,1,2,0,50%
AlexMorono,"May 13, 2023",Tim Means,UFC Fight Night,W,1,1,1,5,0,0,0,0.000,0,0,0,0%
AlexMorono,"Dec 10, 2022",Santiago Ponzinibbio,UFC 282,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Jul 30, 2022",Matthew Semelsberger,UFC 277,W,3,3,4,6,0,0,0,0.000,0,4,0,0%
AlexMorono,"Dec 4, 2021",Mickey Gall,UFC Fight Night,W,0,0,1,1,0,0,0,0.000,0,0,0,0%
AlexMorono,"Sep 4, 2021",David Zawada,UFC Fight Night,W,1,1,5,8,0,0,0,0.000,0,0,0,0%
AlexMorono,"May 8, 2021",Donald Cerrone,UFC Fight Night,W,2,3,3,8,0,0,0,0.000,0,2,0,0%
AlexMorono,"Dec 19, 2020",Anthony Pettis,UFC Fight Night,L,0,1,0,0,0,0,0,0.000,1,5,0,20%
AlexMorono,"Nov 14, 2020",Rhys McKee,UFC Fight Night,W,4,4,18,25,0,0,0,0.000,3,3,0,100%
AlexMorono,"Feb 8, 2020",Khaos Williams,UFC 247,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Oct 12, 2019",Max Griffin,UFC Fight Night,W,4,4,8,12,0,0,0,0.000,0,1,0,0%
AlexMorono,"Mar 9, 2019",Zak Ottow,UFC Fight Night,W,0,0,0,0,0,0,1,0.000,0,0,0,0%
AlexMorono,"Nov 24, 2018",Song Kenan,UFC Fight Night,W,0,0,8,16,0,0,0,0.000,0,2,0,0%
AlexMorono,"Jul 28, 2018",Jordan Mein,UFC Fight Night,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Feb 18, 2018",Joshua Burkman,UFC Fight Night,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Sep 22, 2017",Keita Nakamura,UFC Fight Night,L,0,0,1,1,0,0,0,0.000,0,0,0,0%
AlexMorono,"Feb 4, 2017",Niko Price,UFC Fight Night,D,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Dec 17, 2016",James Moontasri,UFC Fight Night,W,2,2,17,25,0,0,0,0.000,0,3,0,0%
AlexMorono,"Jan 2, 2016",Kyle Noke,UFC 195,W,0,0,4,11,0,0,0,0.000,0,0,0,0%
AlexMorono,"Dec 4, 2015",Derrick Krantz,LFC 49,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Aug 28, 2015",Valdir Araujo,LFC 44,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Jun 26, 2015",Marcus Andrusia,LFC 42,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Feb 13, 2015",Rashid Abdullah,FF,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Oct 24, 2014",Larry Hopkins,FF,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Jun 13, 2014",Diego Henrique da Silva,LFC 31,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Mar 14, 2014",Rashid Abdullah,TCT,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Nov 1, 2013",Rob Wood,FF,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Mar 1, 2013",Brandon Farran,LFC 18,W,-,-,-,-,-,-,-,-,-,-,-,-
AlexMorono,"Feb 24, 2012",Rashon Lewis,LFC 10,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Sep 16, 2011",Evert Gutierrez,LFC,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Apr 9, 2011",Jeff Rexroad,LFC,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Jan 29, 2011",Mark Garcia,LFC,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
AlexMorono,"Dec 2, 2010",Jose Castro,Triple A Promotions,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
HamdyAbdelwahab,"Jul 30, 2022",Don'Tale Mayes,UFC 277,D,0,0,2,3,0,0,0,0.000,3,4,0,75%
HamdyAbdelwahab,"Jun 3, 2022",Matthew Strickland,iKON FC 3,W,-,-,-,-,-,-,-,-,-,-,-,-
HamdyAbdelwahab,"Mar 19, 2022",Tyler Lee,Gamebred Fighting Championship,W,-,-,-,-,-,-,-,-,-,-,-,-
HamdyAbdelwahab,"Jan 21, 2022",Dustin Clements,iKON FC 1,W,-,-,-,-,-,-,-,-,-,-,-,-
HamdyAbdelwahab,"Dec 17, 2021",Connor McKenna,GFC 3,W,-,-,-,-,-,-,-,-,-,-,-,-
HamdyAbdelwahab,"Oct 1, 2021",Matthew Strickland,GFC 2,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Dec 16, 2023",Tony Ferguson,UFC 296,W,0,0,0,0,0,0,0,0.000,1,4,0,25%
PaddyPimblett,"Dec 10, 2022",Jared Gordon,UFC 282,W,3,3,5,12,0,0,0,0.000,0,3,0,0%
PaddyPimblett,"Jul 23, 2022",Jordan Leavitt,UFC Fight Night,W,1,1,7,8,0,0,0,0.000,1,1,0,100%
PaddyPimblett,"Mar 19, 2022",Kazula Vargas,UFC Fight Night,W,0,0,0,1,0,0,0,0.000,1,2,0,50%
PaddyPimblett,"Sep 4, 2021",Luigi Vendramini,UFC Fight Night,W,0,0,0,0,1,1,0,0.000,0,2,0,0%
PaddyPimblett,"Mar 20, 2021",Davide Martinez,CW 122,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Mar 20, 2020",Decky Dalton,CW 113,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Sep 1, 2018",Soren Bak,CW 96,L,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Feb 24, 2018",Alexis Savvidis,CW 90,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Apr 1, 2017",Nad Narimani,CW 82,L,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Nov 12, 2016",Julian Erosa,CWFC,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Sep 10, 2016",Johnny Frachey,CWFC 78,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Jul 8, 2016",Teddy Violet,CWFC 77,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Apr 15, 2016",Ashleigh Grimshaw,CWFC 75,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Jun 20, 2015",Miguel Haro,FCC 13,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Mar 28, 2015",Kevin Petshi,FCC 12,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Nov 1, 2014",Stephen Martin,CWFC 73,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"May 3, 2014",Conrad Hayes,CWFC 68,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Mar 1, 2014",Martin Sheridan,CWFC 65,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Oct 5, 2013",Cameron Else,CWFC 60,L,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Jul 6, 2013",Florian Calin,CWFC 56,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
PaddyPimblett,"Jun 1, 2013",Jack Drabble,OMMAC 17,W,-,-,-,-,-,-,-,-,-,-,-,-
PaddyPimblett,"Dec 1, 2012",Dougie Scott,CC,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
PaddyPimblett,"Oct 16, 2012",Nathan Thompson,OMMAC 15,W,-,-,-,-,-,-,-,-,-,-,-,-
TyronWoodley,"Mar 27, 2021",Vicente Luque,UFC 260,L,9,11,0,0,1,1,0,0.000,0,1,0,0%
TyronWoodley,"Sep 19, 2020",Colby Covington,UFC Fight Night,L,6,7,2,2,0,0,0,0.000,1,1,0,100%
TyronWoodley,"May 30, 2020",Gilbert Burns,UFC Fight Night,L,9,9,0,0,0,0,0,0.000,0,2,0,0%
TyronWoodley,"Mar 2, 2019",Kamaru Usman,UFC 235,L,18,19,5,7,1,1,0,0.000,0,1,0,0%
TyronWoodley,"Sep 8, 2018",Darren Till,UFC 228,W,1,2,1,1,3,3,0,0.000,0,4,0,0%
TyronWoodley,"Jul 29, 2017",Demian Maia,UFC 214,W,1,1,0,0,0,0,0,0.000,0,0,0,0%
TyronWoodley,"Mar 4, 2017",Stephen Thompson,UFC 209,W,1,1,4,11,0,0,0,0.500,1,2,1,50%
TyronWoodley,"Nov 12, 2016",Stephen Thompson,UFC 205,D,0,0,0,0,0,0,0,0.000,0,0,0,0%
TyronWoodley,"Jul 30, 2016",Robbie Lawler,UFC 201,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
TyronWoodley,"Jan 31, 2015",Kelvin Gastelum,UFC 183,W,3,5,1,2,0,0,0,0.000,0,0,0,0%
TyronWoodley,"Aug 23, 2014",Dong Hyun Kim,UFC Fight Night,W,1,1,1,1,4,4,0,0.000,0,0,0,0%
TyronWoodley,"Jun 14, 2014",Rory MacDonald,UFC 174,L,5,6,2,5,1,1,0,0.000,0,2,0,0%
TyronWoodley,"Mar 15, 2014",Carlos Condit,UFC 171,W,3,3,3,6,0,0,0,0.000,3,3,0,100%
