,fighters
0,Irene Aldana
1,Bethe Correia
2,Gabriella Fernandes
3,Marco Beltran
4,Beneil Dariush
5,Priscila Cachoeira
6,Liliya Shakirova
7,Val Woodburn
8,Kelvin Gastelum
9,Mateus Mendonca
10,Jeremiah Wells
11,Montserrat Conejo Ruiz
12,Hailey Cowan
13,Jake Hadley
14,Tim Boetsch
15,Diego Ferreira
16,Mark Hunt
17,Chad Anheliger
18,Elves Brener
19,Daichi Abe
20,Kelly Faszholz
21,Serhiy Sidey
22,Jairzinho Rozenstruik
23,Ruslan Magomedov
24,Danny Barlow
25,Chris Avila
26,Orion Cosce
27,Shinsho Anzai
28,Themba Gorimbo
29,Tabatha Ricci
30,Tyson Nam
31,Tonya Evinger
32,Oluwale Bamgbose
33,Daniel Da Silva
34,Josh Thomson
35,Manon Fiorot
36,Roy Nelson
37,Kyung Ho Kang
38,Joe Riggs
39,Carlos Huachin
40,Allan Zuniga
41,Christos Giagos
42,Kaynan Kruschewsky
43,Josh Stansbury
44,Christian Rodriguez
45,Charles Oliveira
46,Mickey Gall
47,Lisa Ellis
48,Ian Entwistle
49,Ibo Aslan
50,Melquizael Costa
51,Soa Palelei
52,Frankie Edgar
53,Enrique Barzola
54,Jared Vanderaa
55,Hannah Cifers
56,Kwan Ho Kwak
57,Nate Diaz
58,Dustin Ortiz
59,Erik Koch
60,Augusto Mendes
61,Jay Perrin
62,Muhammad Mokaev
63,Alex Garcia
64,Ovince Saint Preux
65,Jamie Mullarkey
66,Wang Guan
67,Heather Clark
68,Uros Medic
69,Michael Chiesa
70,Tom Breese
71,Juan Adams
72,Nathaniel Wood
73,Charles Jourdain
74,Damian Grabowski
75,Adam Yandiev
76,Dricus Du Plessis
77,Da'Mon Blackshear
78,James Bochnovic
79,Marcos Rogerio de Lima
80,Joshua Burkman
81,Luana Pinheiro
82,Ramazan Emeev
83,Tagir Ulanbekov
84,Daniel Sarafian
85,Israel Adesanya
86,Joshua Weems
87,Melinda Fabian
88,Alex White
89,JP Buys
90,Brian Ebersole
91,Ray Borg
92,Marion Reneau
93,Sirwan Kakai
94,Rodolfo Bellato
95,Rin Nakai
96,Max Rohskopf
97,Stefan Sekulic
98,Shannon Ross
99,Nick Roehrick
100,Edmen Shahbazyan
101,Jeremy Kennedy
102,Tristan Connelly
103,Jon Tuck
104,Andreas Michailidis
105,Rory MacDonald
106,Josh Emmett
107,Anshul Jubli
108,Douglas Silva de Andrade
109,Jose Aldo
110,Jesse Butler
111,Luan Lacerda
112,Ji Yeon Kim
113,Bojan Mihajlovic
114,Mateusz Gamrot
115,Elias Garcia
116,Brianna Van Buren
117,Ottman Azaitar
118,Jordan Griffin
119,Lyman Good
120,Bobby Moffett
121,Tai Tuivasa
122,Suman Mokhtarian
123,Sergey Khandozhko
124,Stephanie Egger
125,Chris Kelades
126,Roosevelt Roberts
127,Niklas Stolze
128,Tony Ferguson
129,Ramsey Nijem
130,Andrei Arlovski
131,Richie Vaculik
132,Aleksei Kunchenko
133,Adam Milstead
134,Takanori Gomi
135,Wendell Oliveira Marques
136,Guido Cannetti
137,Hector Urbina
138,Shauna Bannon
139,Neil Seery
140,Jacob Kilburn
141,Paul Felder
142,Benson Henderson
143,Dustin Stoltzfus
144,Herbert Burns
145,Chris Padilla
146,Pat Sabatini
147,Malcolm Gordon
148,Dominick Cruz
149,Jamey-Lyn Horth
150,Ross Pearson
151,Bill Algeo
152,Brok Weaver
153,Juliana Lima
154,Alessio Di Chirico
155,Antonina Shevchenko
156,Thibault Gouti
157,Carlos Vera
158,Gabriel Miranda
159,Michelle Waterson-Gomez
160,Brandon Moreno
161,Mateusz Rebecki
162,Hayder Hassan
163,Alex Reyes
164,Charlie Ontiveros
165,Albert Tumenov
166,Michael Chandler
167,Jocelyn Jones-Lybarger
168,Roan Carneiro
169,Rolando Bedoya
170,Ramiz Brahimaj
171,Connor Matthews
172,Vaughan Lee
173,Michael McBride
174,Sean O'Malley
175,Vanessa Melo
176,Tecia Pennington
177,Rashad Coulter
178,Patrick Williams
179,Danilo Marques
180,Bryan Battle
181,Edimilson Souza
182,Kevin Jousset
183,Charlie Campbell
184,Shanna Young
