Fighter Name
Aaron Pico
Abus Magomedov
Adam Fugitt
Adilet Nurmatov
Adrian Yanez
Ahejiang Ailinuer
Aiemann Zahabi
Ailin Perez
Al Iaquinta
Aleksandar Rakic
Aleksandre Topuria
Alessandro Costa
Alex Caceres
Alex Morono
Alex Pereira
Alex Perez
Alex Reyes
Alexa Grasso
Alexander Hernandez
Alexander Volkanovski
Alexander Volkov
Alexandre Pantoja
Alexia Thainara
Aliaskhab Khizriev
Alice Ardelean
Aljamain Sterling
Allan Nascimento
Alonzo Menifield
Alvin Hines
Amanda Lemos
Amanda Ribas
Amir Albazi
Andre Fili
Andre Lima
Andre Muniz
Andre Petroski
Andreas Gustafsson
Andrey Pulyaev
Ange Loosa
Angel Pacheco
Angela Hill
Anshul Jubli
Anthony Hernandez
Antonio Trocoli
Ariane Carnelossi
Arisa Matsuda
Arman Tsarukyan
Arnold Allen
Asu Almabayev
Ateba Gautier
Austen Lane
Austin Bashi
Austin Hubbard
Azamat Bekoev
Azamat Murzakanov
Azat Maksum
Aziz Khaydarov
Baergeng Jieleyisi
Bassil Hafez
Bekzat Almakhan
Belal Muhammad
Benardo Sopaj
Beneil Dariush
Benoit Saint Denis
Billy Elekana
Billy Quarantillo
Billy Ray Goff
Bo Nickal
Bogdan Grad
Bogdan Guskov
Bolaji Oki
Brad Riddell
Brady Hiestand
Brandon Moreno
Brandon Royval
Brendan Allen
Brendson Ribeiro
Brian Ortega
Brogan Walker
Bruna Brasil
Brunno Ferreira
Bruno Lopes
Bryan Battle
Bryce Mitchell
Caio Borralho
Calvin Kattar
Cameron Saaiman
Cameron Smotherman
Carli Judice
Carlos Leal
Carlos Prates
Carlos Ulberg
Carlos Vera
Carlston Harris
Cesar Almeida
Chad Anheliger
Charles Johnson
Charles Jourdain
Charles Oliveira
Charles Radtke
Charlie Campbell
Chase Hooper
Chelsea Chandler
Chepe Mariscal
Chidi Njokuani
Chris Barnett
Chris Curtis
Chris Duncan
Chris Gutierrez
Chris Padilla
Christian Leroy Duncan
Christian Rodriguez
Ciryl Gane
Claudio Puelles
Clayton Carpenter
Cody Brundage
Cody Durden
Cody Garbrandt
Cody Gibson
Cody Haddon
Colby Covington
Colby Thicknesse
Cory Sandhagen
Cristian Quinonez
Cub Swanson
Current Roster
Curtis Blaydes
Daichi Kamiya
Damian Pinas
Damir Hadzovic
Dan Hooker
Dan Ige
Daniel Barez
Daniel Frunza
Daniel Marcos
Daniel Rodriguez
Daniel Santos
Daniel Zellhuber
Danny Barlow
Danny Silva
Daria Zhelezniakova
Darren Elkins
Darrius Flowers
Davey Grant
David Martinez
David Onama
David Teymur
Deiveson Figueiredo
Deni Daffa
Denise Gomes
Dennis Buzukja
Derrick Lewis
Diego Ferreira
Diego Lopes
Dione Barbosa
Diyar Nurgozhay
Dominic Mar Fan
Dominick Reyes
Dooho Choi
Drakkar Klose
Drew Dober
Dricus Du Plessis
Dusko Todorovic
Dustin Jacoby
Dustin Poirier
Dustin Stoltzfus
Edgar Chairez
Edmen Shahbazyan
Edson Barboza
Eduarda Moura
Elijah Smith
Elise Reed
Elves Brener
Erik Silva
Erin Blanchfield
Ernesta Kareckaite
Eryk Anders
Esteban Ribovics
Evan Elder
Fares Ziam
Farid Basharat
Fatima Kline
Felipe Bunes
Felipe Lima
Feng Xiaocan
Fernando Padilla
Former Roster
Francis Marshall
Francisco Prado
Frankie Saenz
Gabe Green
Gabriel Bonfim
Gabriel Santos
Gabriella Fernandes
Garrett Armfield
Gaston Bolanos
Gauge Young
Gavin Tucker
Geoff Neal
George Mangos
Gerald Meerschaert
Giga Chikadze
Gilbert Burns
Gilbert Urbina
Gillian Robertson
Grant Dawson
Gregory Rodrigues
Gunnar Nelson
Hailey Cowan
Hamdy Abdelwahab
Henry Cejudo
Hyder Amil
Ian Machado Garry
Iasmin Lucindo
Ibo Aslan
Ignacio Bahamondes
Ikram Aliskerov
Ilia Topuria
Ilian Bouafia
Ion Cutelaba
Irene Aldana
Irina Alekseeva
Isaac Dulgarian
Islam Dulatov
Islam Makhachev
Ismael Bonfim
Ismail Naurdiev
Israel Adesanya
Ivan Erslan
Jack Becker
Jack Della Maddalena
Jack Hermansson
Jack Jenkins
Jacob Malkoun
Jacobe Smith
Jacqueline Cavalcanti
Jafel Filho
Jai Herbert
Jailton Almeida
Jake Matthews
Jamahal Hill
Jamall Emmers
Jamie Mullarkey
Jan Blachowicz
Jaqueline Amorim
Jared Cannonier
Jared Gordon
Jasmine Jasudavicius
Javid Basharat
Jean Matsumoto
Jean Silva
Jeremiah Wells
Jeremy Stephens
Jessica Andrade
Jesus Aguilar
Jhonata Diniz
Jim Miller
Jimmy Crute
Jimmy Drago
Jin Aoi
Jiri Prochazka
Joanderson Brito
Joaquim Silva
Joaquin Buckley
Joe Lauzon
Joe Pyfer
Joel Alvarez
John Castaneda
Johnny Walker
Jonathan Martinez
Jonathan Micallef
Jonny Parsons
Jordan Leavitt
Jordan Vucenic
Jose Daniel Medina
Jose Delgado
Jose Ochoa
Joselyne Edwards
Josh Emmett
Joshua Van
Josiane Nunes
Josias Musasa
Julia Polastri
Julian Erosa
Juliana Miller
Julianna Pena
Julija Stoliarenko
Julius Walker
Junior Tafa
Justin Gaethje
Justin Tafa
Kaan Ofli
Kai Asakura
Kai Yoshida
Kamaru Usman
Karine Silva
Karol Rosa
Karolina Kowalkiewicz
Katlyn Cerminara
Kaue Fernandes
Kayla Harrison
Keiichiro Nakamura
Kelvin Gastelum
Kennedy Freeman
Kennedy Nzechukwu
Ketlen Souza
Ketlen Vieira
Kevin Borjas
Kevin Holland
Kevin Vallejos
Khamzat Chimaev
Khaos Williams
Kiefer Crosbie
King Green
Kiru Sahota
Kitt Campbell
Klaudia Sygula
Kody Steele
Kris Moutinho
Kurt Holobaugh
Kuya Ito
Kyle Nelson
