Player,Date,Opponent,Event,Result,TDL,TDA,TD Acc.,TD Def.,Sub. Avg.,Sub. Attempts,Sub. Success Rate,Control Time,Ground Control %,Reversals,Sweeps
Aaron Pico,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Abus Magomedov,2025-08-04,N/A,N/A,N/A,,21.0,0%,0%,0.0,0,0%,0,0%,0,0
Adam Fugitt,2025-08-04,N/A,N/A,N/A,1.0,20.0,0%,0%,0.0,0,0%,0,0%,0,0
Adilet Nurmatov ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Adrian Yanez,2025-08-04,N/A,N/A,N/A,,1.0,0%,0%,0.0,0,0%,0,0%,0,0
Ahejiang Ailinuer ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Aiemann Zahabi,2025-08-04,N/A,N/A,N/A,,7.0,0%,0%,0.0,0,0%,0,0%,0,0
Ailin Perez,2025-08-04,N/A,N/A,N/A,1.0,49.0,0%,0%,0.0,0,0%,0,0%,0,0
Aleksandar Rakić,2025-08-04,N/A,N/A,N/A,3.0,21.0,0%,0%,0.0,0,0%,0,0%,0,0
Aleksandre Topuria,2025-08-04,N/A,N/A,N/A,1.0,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Alessandro Costa,2025-08-04,N/A,N/A,N/A,,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Alexander Hernandez,2025-08-04,N/A,N/A,N/A,4.0,36.0,0%,0%,0.0,0,0%,0,0%,0,0
Alexander Volkanovski,2025-08-04,N/A,N/A,N/A,16.0,90.0,0%,0%,0.0,0,0%,0,0%,0,0
Alexander Volkov,2025-08-04,N/A,N/A,N/A,5.0,15.0,0%,0%,0.0,0,0%,0,0%,0,0
Alexandre Pantoja,2025-08-04,N/A,N/A,N/A,3.0,84.0,0%,0%,0.0,0,0%,0,0%,0,0
Alexa Grasso,2025-08-04,N/A,N/A,N/A,1.0,17.0,0%,0%,0.0,0,0%,0,0%,0,0
Alexia Thainara,2025-08-04,N/A,N/A,N/A,1.0,4.0,0%,0%,0.0,0,0%,0,0%,0,0
Alex Caceres,2025-08-04,N/A,N/A,N/A,9.0,19.0,0%,0%,0.0,0,0%,0,0%,0,0
Alex Morono,2025-08-04,N/A,N/A,N/A,,25.0,0%,0%,0.0,0,0%,0,0%,0,0
Alex Pereira,2025-08-04,N/A,N/A,N/A,,2.0,0%,0%,0.0,0,0%,0,0%,0,0
Alex Perez,2025-08-04,N/A,N/A,N/A,7.0,26.0,0%,0%,0.0,0,0%,0,0%,0,0
Alex Reyes,2025-08-04,N/A,N/A,N/A,,7.0,0%,0%,0.0,0,0%,0,0%,0,0
Aliaskhab Khizriev,2025-08-04,N/A,N/A,N/A,2.0,5.0,0%,0%,0.0,0,0%,0,0%,0,0
Alice Ardelean,2025-08-04,N/A,N/A,N/A,2.0,6.0,0%,0%,0.0,0,0%,0,0%,0,0
Aljamain Sterling,2025-08-04,N/A,N/A,N/A,21.0,157.0,0%,0%,0.0,0,0%,0,0%,0,0
Allan Nascimento,2025-08-04,N/A,N/A,N/A,,25.0,0%,0%,0.0,0,0%,0,0%,0,0
Alonzo Menifield,2025-08-04,N/A,N/A,N/A,,16.0,0%,0%,0.0,0,0%,0,0%,0,0
Alvin Hines,2025-08-04,N/A,N/A,N/A,1.0,10.0,0%,0%,0.0,0,0%,0,0%,0,0
Al Iaquinta,2025-08-04,N/A,N/A,N/A,8.0,43.0,0%,0%,0.0,0,0%,0,0%,0,0
Amanda Lemos,2025-08-04,N/A,N/A,N/A,1.0,16.0,0%,0%,0.0,0,0%,0,0%,0,0
Amanda Ribas,2025-08-04,N/A,N/A,N/A,2.0,42.0,0%,0%,0.0,0,0%,0,0%,0,0
Amir Albazi,2025-08-04,N/A,N/A,N/A,3.0,25.0,0%,0%,0.0,0,0%,0,0%,0,0
Andreas Gustafsson,2025-08-04,N/A,N/A,N/A,8.0,17.0,0%,0%,0.0,0,0%,0,0%,0,0
Andrey Pulyaev,2025-08-04,N/A,N/A,N/A,,6.0,0%,0%,0.0,0,0%,0,0%,0,0
Andre Fili,2025-08-04,N/A,N/A,N/A,23.0,81.0,0%,0%,0.0,0,0%,0,0%,0,0
Andre Lima,2025-08-04,N/A,N/A,N/A,1.0,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Andre Muniz,2025-08-04,N/A,N/A,N/A,3.0,55.0,0%,0%,0.0,0,0%,0,0%,0,0
Andre Petroski,2025-08-04,N/A,N/A,N/A,8.0,52.0,0%,0%,0.0,0,0%,0,0%,0,0
Angela Hill,2025-08-04,N/A,N/A,N/A,3.0,64.0,0%,0%,0.0,0,0%,0,0%,0,0
Angel Pacheco,2025-08-04,N/A,N/A,N/A,,1.0,0%,0%,0.0,0,0%,0,0%,0,0
Ange Loosa,2025-08-04,N/A,N/A,N/A,,41.0,0%,0%,0.0,0,0%,0,0%,0,0
Anshul Jubli,2025-08-04,N/A,N/A,N/A,2.0,11.0,0%,0%,0.0,0,0%,0,0%,0,0
Anthony Hernandez,2025-08-04,N/A,N/A,N/A,,100.0,0%,0%,0.0,0,0%,0,0%,0,0
Antonio Trocoli,2025-08-04,N/A,N/A,N/A,,9.0,0%,0%,0.0,0,0%,0,0%,0,0
Ariane Carnelossi,2025-08-04,N/A,N/A,N/A,,9.0,0%,0%,0.0,0,0%,0,0%,0,0
Arisa Matsuda ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Arman Tsarukyan,2025-08-04,N/A,N/A,N/A,3.0,81.0,0%,0%,0.0,0,0%,0,0%,0,0
Arnold Allen,2025-08-04,N/A,N/A,N/A,8.0,23.0,0%,0%,0.0,0,0%,0,0%,0,0
Asu Almabayev ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Ateba Gautier,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Austen Lane,2025-08-04,N/A,N/A,N/A,,14.0,0%,0%,0.0,0,0%,0,0%,0,0
Austin Bashi,2025-08-04,N/A,N/A,N/A,3.0,33.0,0%,0%,0.0,0,0%,0,0%,0,0
Austin Hubbard,2025-08-04,N/A,N/A,N/A,,47.0,0%,0%,0.0,0,0%,0,0%,0,0
Azamat Bekoev,2025-08-04,N/A,N/A,N/A,1.0,3.0,0%,0%,0.0,0,0%,0,0%,0,0
Azamat Murzakanov,2025-08-04,N/A,N/A,N/A,1.0,13.0,0%,0%,0.0,0,0%,0,0%,0,0
Azat Maksum,2025-08-04,N/A,N/A,N/A,2.0,25.0,0%,0%,0.0,0,0%,0,0%,0,0
Aziz Khaydarov ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Baergeng Jieleyisi,2025-08-04,N/A,N/A,N/A,1.0,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Bassil Hafez,2025-08-04,N/A,N/A,N/A,3.0,25.0,0%,0%,0.0,0,0%,0,0%,0,0
Bekzat Almakhan,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Belal Muhammad,2025-08-04,N/A,N/A,N/A,15.0,119.0,0%,0%,0.0,0,0%,0,0%,0,0
Benardo Sopaj,2025-08-04,N/A,N/A,N/A,3.0,7.0,0%,0%,0.0,0,0%,0,0%,0,0
Beneil Dariush,2025-08-04,N/A,N/A,N/A,9.0,81.0,0%,0%,0.0,0,0%,0,0%,0,0
Benoît Saint Denis,2025-08-04,N/A,N/A,N/A,2.0,48.0,0%,0%,0.0,0,0%,0,0%,0,0
Billy Elekana,2025-08-04,N/A,N/A,N/A,1.0,4.0,0%,0%,0.0,0,0%,0,0%,0,0
Billy Quarantillo,2025-08-04,N/A,N/A,N/A,1.0,54.0,0%,0%,0.0,0,0%,0,0%,0,0
Billy Ray Goff ufc,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Bogdan Grad,2025-08-04,N/A,N/A,N/A,3.0,25.0,0%,0%,0.0,0,0%,0,0%,0,0
Bogdan Guskov,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Bolaji Oki,2025-08-04,N/A,N/A,N/A,1.0,4.0,0%,0%,0.0,0,0%,0,0%,0,0
Bo Nickal,2025-08-04,N/A,N/A,N/A,1.0,15.0,0%,0%,0.0,0,0%,0,0%,0,0
Brady Hiestand,2025-08-04,N/A,N/A,N/A,6.0,39.0,0%,0%,0.0,0,0%,0,0%,0,0
Brad Riddell,2025-08-04,N/A,N/A,N/A,1.0,25.0,0%,0%,0.0,0,0%,0,0%,0,0
Brandon Moreno,2025-08-04,N/A,N/A,N/A,12.0,70.0,0%,0%,0.0,0,0%,0,0%,0,0
Brandon Royval,2025-08-04,N/A,N/A,N/A,2.0,8.0,0%,0%,0.0,0,0%,0,0%,0,0
Brendan Allen,2025-08-04,N/A,N/A,N/A,2.0,51.0,0%,0%,0.0,0,0%,0,0%,0,0
Brendson Ribeiro,2025-08-04,N/A,N/A,N/A,,7.0,0%,0%,0.0,0,0%,0,0%,0,0
Brian Ortega,2025-08-04,N/A,N/A,N/A,1.0,46.0,0%,0%,0.0,0,0%,0,0%,0,0
Brogan Walker,2025-08-04,N/A,N/A,N/A,,,0%,0%,0.0,0,0%,0,0%,0,0
Bruna Brasil,2025-08-04,N/A,N/A,N/A,,12.0,0%,0%,0.0,0,0%,0,0%,0,0
Brunno Ferreira,2025-08-04,N/A,N/A,N/A,,14.0,0%,0%,0.0,0,0%,0,0%,0,0
