Player,Date,Opponent,Event,Result,SGBL,SGBA,SGHL,SGHA,SGLL,SGLA,AD,ADHG,ADTB,ADTM,ADTS,SM
AJCunningham,"Mar 15, 2025",SuYoung You,UFC Fight Night,L,0,0,0,0,0,0,0,0,0,0,0,1
AJCunningham,"Mar 2, 2024",Ludovit Klein,UFC Fight Night,L,0,0,0,0,0,0,0,0,0,0,0,0
AJCunningham,"Dec 9, 2023",Justice Lamparez,RDC 9,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Sep 12, 2023",Steven Nguyen,Dana White's Contender Series,L,0,0,0,0,0,0,0,0,0,0,0,0
AJCunningham,"May 7, 2023",Jason Mullen,Fury Fighting Championship 79,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Aug 5, 2022",Shea Conley,LFA 138,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Sep 25, 2021",Jonathan Jackson,Attitude MMA Fights 22,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Mar 19, 2021",Javier Garcia,LFA 102,L,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Dec 5, 2020",Charles Bridges,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Sep 24, 2020",Jewel Scott,iFF 1,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Jun 20, 2020",Aaron Ulroan,MMAX FC 8,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Nov 16, 2019",Chris Hatley Jr.,PF,L,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Jun 22, 2019",Johnnie Roades,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Apr 13, 2019",Kevin Henry,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Nov 17, 2018",Jose Herrera,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJCunningham,"Aug 18, 2018",Jesse Hancock,PF,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Mar 23, 2024",Edmen Shahbazyan,UFC Fight Night,L,0,0,0,0,0,0,0,0,0,0,0,0
AJDobson,"Aug 12, 2023",Tafon Nchukwi,UFC Fight Night,W,2,2,2,8,0,0,0,0,0,0,0,0
AJDobson,"Oct 22, 2022",Armen Petrosyan,UFC 280,L,0,0,0,0,0,0,0,0,0,0,0,0
AJDobson,"Feb 12, 2022",Jacob Malkoun,UFC 271,L,1,1,2,2,0,0,0,0,0,0,0,0
AJDobson,"Sep 21, 2021",Hashem Arkhagha,Dana White's Contender Series,W,0,0,17,32,0,0,0,0,0,0,0,1
AJDobson,"Nov 7, 2020",Kailan Hill,SHP 57,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Aug 18, 2018",Wesley Golden,Honor FC 6,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Dec 9, 2017",Montrell James,Alpha One Sports,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Apr 15, 2017",Willie Whitehead,KOTC,W,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Apr 1, 2017",Seth Bass,DCS 33,D,-,-,-,-,-,-,-,-,-,-,-,-
AJDobson,"Jun 25, 2016",Jarrel Miller,RFO 19,W,-,-,-,-,-,-,-,-,-,-,-,-
AaronBrink,"Jun 14, 2014",Ashley Gooch,DFD,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronBrink,"May 11, 2012",Joe Riggs,RITC,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronBrink,"Feb 21, 2010",Travis Browne,GC,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronBrink,"Mar 16, 2003",Alistair Overeem,2H2H 6,L,-,-,-,-,-,-,-,-,-,-,-,-
AaronBrink,"Aug 31, 2002",Jeremy Horn,WEC 4,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronBrink,"Aug 11, 2001",Bozigit Ataev,Rings,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronBrink,"Jul 5, 2002",Valentijn Overeem,WFA 2,W,-,-,-,-,-,-,-,-,-,-,-,-
AaronBrink,"Jan 13, 2001",Rich Franklin,IFC - Warriors Challenge 11,D,-,-,-,-,-,-,-,-,-,-,-,-
AaronBrink,"Nov 17, 2000",Andrei Arlovski,UFC 28,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Jul 27, 2013",Justin Salas,UFC on Fox,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Sep 24, 2011",Tony Ferguson,UFC 135,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"May 29, 2010",Joe Brammer,UFC 114,W,0,0,3,4,0,0,4,0,3,0,1,0
AaronRiley,"Nov 14, 2009",Ross Pearson,UFC 105,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Aug 8, 2009",Shane Nelson,UFC 101,W,0,0,10,13,0,0,1,0,1,0,0,0
AaronRiley,"Mar 7, 2009",Shane Nelson,UFC 96,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Nov 15, 2008",Jorge Gurgel,UFC 91,W,0,0,8,12,0,0,0,0,0,0,0,0
AaronRiley,"Sep 13, 2008",Steve Claveau,XMMA 5,W,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Apr 26, 2008",Thiago Meller,UWC 3,W,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Sep 20, 2007",Ryan Schultz,IFL,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Dec 2, 2006",Eddie Alvarez,Bodog Fight,L,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Aug 22, 2006",Darrell Smith,Bodog Fight,W,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Jan 16, 2006",Spencer Fisher,UFC Fight Night 3,L,0,0,1,1,0,0,1,0,1,0,0,0
AaronRiley,"May 22, 2005",Michihiro Omigawa,PRIDE,W,-,-,-,-,-,-,-,-,-,-,-,-
AaronRiley,"Mar 4, 2005",Andrew Chappelle,HOOKnSHOOT,W,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Aug 28, 2004",Maicon Alarcao,AFC,W,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Mar 27, 2004",Nuri Shakir,HOOKnSHOOT,W,0,0,0,0,0,0,0,0,0,0,0,0
AaronRiley,"Nov 14, 2003",Sammy Morgan,Shooto USA-Warrior Spirit,L,0,0,0,0,0,0,0,0,0,0,0,0
